file,seed,kind,label,cycle,speed_m_s,distance_to_first_turn_m,K,realization,rng_seed,n_safe,hit,solve_ms,best_feasible_cost,delta_j_safe,delta_j_safe_over_lambda,ess_safe,best_stop_clearance_m,best_collision_clearance_m,best_first_raw_control,best_first_conditioned_control
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,17,7006417,0,False,173.76395799510647,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,18,7006418,0,False,175.9438750013942,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,19,7006419,0,False,175.11937500967178,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,0,7012800,0,False,432.6803339936305,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,1,7012801,0,False,404.1900000011083,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,2,7012802,0,False,394.03075000154786,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,3,7012803,0,False,378.8491669984069,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,4,7012804,0,False,376.6377919964725,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,5,7012805,0,False,395.90058400062844,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,6,7012806,0,False,466.88466699561104,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,7,7012807,0,False,382.48820800799876,,,,0.0,,,,
